left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,shoulder_distance,hip_distance,left_hand_to_hip,right_hand_to_hip,torso_angle,left_leg_angle,right_leg_angle,vertical_span,horizontal_span,body_aspect_ratio,label
158.4049097396015,155.64814216652258,173.05690919261926,173.0264965748714,111.95525041665496,178.8069516940771,29.37238604937221,178.76336806541454,0.13476826622377847,0.08856281542893947,0.4211801999553014,0.4376962408953996,85.81614391268546,98.61691407481648,80.43853201404781,0.5294285416603088,0.28387442231178284,1.8650096664180291,tree
52.956469573446704,27.432585634420985,51.7971853032143,68.34442049392122,175.85732765806574,91.29168186149565,167.13464503581866,30.174027772917636,0.17905011778181054,0.0805623950283772,0.11465343530759459,0.11609249072166035,91.15259888645483,96.0428506705615,98.66099080500547,0.46880829334259033,0.35708320140838623,1.312882520078079,tree
67.86372142734245,70.39903782543958,151.86491450042624,147.9300066860723,178.67330319699093,102.78366563185841,172.0917881865326,13.936688449076653,0.19461963245132852,0.12572718603465405,0.37526033951809806,0.35655714422209794,88.26728077737494,99.34484991276528,90.79807192192031,0.5167024731636047,0.33253389596939087,1.5538339983577683,tree
165.0605791519764,158.24834992935322,47.300881610467236,179.90331433615347,88.0256224512424,150.56122779126892,38.09717511922315,173.15185837945285,0.16643713356380324,0.11416755623448605,0.20635372109722358,0.503818043190838,104.15786771661793,67.56231761139091,65.43403955351015,0.5390910506248474,0.29728466272354126,1.8133833265598807,tree
164.78106535366962,171.30246573688734,152.1763526296554,147.24142092043536,179.2892781759355,74.49930376610261,177.66311831660977,6.01177625112982,0.1588909349309432,0.10284700580977824,0.5022603385210149,0.48111143150446334,92.81930140406695,100.82342686031318,99.0796107033206,0.6229166090488434,0.2578488290309906,2.4158209730476443,tree
176.9910272044221,168.7906320967053,152.5404774366423,158.64493640330892,178.92196494204458,129.59340958558494,173.69084427927035,90.48498981899192,0.04326775947241441,0.04370378738029009,0.4625799818613096,0.4269157416038786,96.80823062896792,93.27861980745149,94.55225841095007,0.5464345812797546,0.17001670598983765,3.2140052243596373,tree
167.41320231073672,163.31656018120515,153.3461804190163,149.36423770422124,160.55300380402088,131.82418062182282,132.65550598496773,76.97155556414351,0.08571423506509789,0.05081712513966614,0.4418235079900518,0.46922480831730684,91.08307951178361,95.73797935835717,84.56078396209833,0.44277623295783997,0.1464914083480835,3.0225406250839195,tree
51.096135415071934,31.17459673773902,8.780300848300806,11.798155408684597,175.20022670786346,107.51475574382349,178.21348837664792,31.66406004606236,0.12447930505691086,0.0752361235587126,0.12820698313082976,0.1256957712124902,97.79934270041886,102.18683147585799,108.921854196568,0.33587759733200073,0.23825407028198242,1.4097454743773203,tree
52.6362667479614,36.58605124706031,22.02794295051828,28.57894174383098,173.1748214826905,107.61133805844122,175.07391082425514,30.52932664789155,0.22137489457167606,0.12993664857745413,0.18302659020426373,0.17688467775499273,94.70482369071651,101.16802933712643,75.94126629962915,0.5918598622083664,0.39680129289627075,1.4915774540157223,tree
153.0014468564154,155.32479913948714,172.30408516019105,168.7102885750792,131.85842226790083,173.48240807245142,46.99508306841127,176.5456422577961,0.05401917898492898,0.02329529023328138,0.29633924250572813,0.30480841378601226,96.58850425135628,96.176894966514,96.8304327481514,0.3848141133785248,0.11837127804756165,3.2509078192423186,tree
